Source	Target	Edge_Attr	Mapped_Edge_Attr
Extracellular matrix organization	Degradation of the extracellular matrix	15	4
Extracellular matrix organization	ECM proteoglycans	9	2.71428571428571
Extracellular matrix organization	Integrin cell surface interactions	9	2.71428571428571
Extracellular matrix organization	Keratan sulfate degradation	1	1
Extracellular matrix organization	Neutrophil degranulation	4	1.64285714285714
Extracellular matrix organization	Collagen degradation	7	2.28571428571429
Extracellular matrix organization	Collagen formation	8	2.5
Extracellular matrix organization	Assembly of collagen fibrils and other multimeric structures	7	2.28571428571429
Extracellular matrix organization	Glycosaminoglycan metabolism	4	1.64285714285714
Extracellular matrix organization	Laminin interactions	5	1.85714285714286
Extracellular matrix organization	MET activates PTK2 signaling	5	1.85714285714286
Extracellular matrix organization	CS/DS degradation	2	1.21428571428571
Extracellular matrix organization	Collagen biosynthesis and modifying enzymes	6	2.07142857142857
Extracellular matrix organization	Keratan sulfate/keratin metabolism	1	1
Extracellular matrix organization	MET promotes cell motility	5	1.85714285714286
Extracellular matrix organization	Collagen chain trimerization	5	1.85714285714286
Extracellular matrix organization	Non-integrin membrane-ECM interactions	5	1.85714285714286
Extracellular matrix organization	Post-translational protein phosphorylation	2	1.21428571428571
Extracellular matrix organization	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2	1.21428571428571
Extracellular matrix organization	Chondroitin sulfate/dermatan sulfate metabolism	3	1.42857142857143
Extracellular matrix organization	Platelet Adhesion to exposed collagen	2	1.21428571428571
Extracellular matrix organization	Trafficking and processing of endosomal TLR	2	1.21428571428571
Extracellular matrix organization	Plasma lipoprotein assembly, remodeling, and clearance	1	1
Extracellular matrix organization	Platelet Aggregation (Plug Formation)	3	1.42857142857143
Extracellular matrix organization	Regulation of Complement cascade	1	1
Extracellular matrix organization	Signaling by MET	5	1.85714285714286
Extracellular matrix organization	Metabolism of carbohydrates	4	1.64285714285714
Extracellular matrix organization	Complement cascade	1	1
Extracellular matrix organization	Heparan sulfate/heparin (HS-GAG) metabolism	3	1.42857142857143
Extracellular matrix organization	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
Extracellular matrix organization	Platelet activation, signaling and aggregation	4	1.64285714285714
Extracellular matrix organization	Keratan sulfate biosynthesis	1	1
Extracellular matrix organization	MHC class II antigen presentation	3	1.42857142857143
Extracellular matrix organization	Cell surface interactions at the vascular wall	3	1.42857142857143
Extracellular matrix organization	Dermatan sulfate biosynthesis	2	1.21428571428571
Extracellular matrix organization	GPVI-mediated activation cascade	2	1.21428571428571
Extracellular matrix organization	GP1b-IX-V activation signalling	2	1.21428571428571
Extracellular matrix organization	Anchoring fibril formation	2	1.21428571428571
Extracellular matrix organization	Retinoid metabolism and transport	1	1
Extracellular matrix organization	Metabolism of Angiotensinogen to Angiotensins	1	1
Extracellular matrix organization	Metabolism of fat-soluble vitamins	1	1
Extracellular matrix organization	Crosslinking of collagen fibrils	2	1.21428571428571
Extracellular matrix organization	Syndecan interactions	2	1.21428571428571
Extracellular matrix organization	Chondroitin sulfate biosynthesis	2	1.21428571428571
Extracellular matrix organization	NCAM1 interactions	2	1.21428571428571
Extracellular matrix organization	Signaling by PDGF	3	1.42857142857143
Extracellular matrix organization	HS-GAG degradation	1	1
Degradation of the extracellular matrix	ECM proteoglycans	7	2.28571428571429
Degradation of the extracellular matrix	Integrin cell surface interactions	6	2.07142857142857
Degradation of the extracellular matrix	Neutrophil degranulation	4	1.64285714285714
Degradation of the extracellular matrix	Collagen degradation	7	2.28571428571429
Degradation of the extracellular matrix	Collagen formation	7	2.28571428571429
Degradation of the extracellular matrix	Assembly of collagen fibrils and other multimeric structures	7	2.28571428571429
Degradation of the extracellular matrix	Glycosaminoglycan metabolism	2	1.21428571428571
Degradation of the extracellular matrix	Laminin interactions	2	1.21428571428571
Degradation of the extracellular matrix	MET activates PTK2 signaling	3	1.42857142857143
Degradation of the extracellular matrix	CS/DS degradation	1	1
Degradation of the extracellular matrix	Collagen biosynthesis and modifying enzymes	5	1.85714285714286
Degradation of the extracellular matrix	MET promotes cell motility	3	1.42857142857143
Degradation of the extracellular matrix	Collagen chain trimerization	5	1.85714285714286
Degradation of the extracellular matrix	Non-integrin membrane-ECM interactions	4	1.64285714285714
Degradation of the extracellular matrix	Post-translational protein phosphorylation	1	1
Degradation of the extracellular matrix	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1	1
Degradation of the extracellular matrix	Chondroitin sulfate/dermatan sulfate metabolism	2	1.21428571428571
Degradation of the extracellular matrix	Platelet Adhesion to exposed collagen	2	1.21428571428571
Degradation of the extracellular matrix	Trafficking and processing of endosomal TLR	2	1.21428571428571
Degradation of the extracellular matrix	Plasma lipoprotein assembly, remodeling, and clearance	1	1
Degradation of the extracellular matrix	Platelet Aggregation (Plug Formation)	3	1.42857142857143
Degradation of the extracellular matrix	Signaling by MET	3	1.42857142857143
Degradation of the extracellular matrix	Metabolism of carbohydrates	2	1.21428571428571
Degradation of the extracellular matrix	Heparan sulfate/heparin (HS-GAG) metabolism	2	1.21428571428571
Degradation of the extracellular matrix	A tetrasaccharide linker sequence is required for GAG synthesis	2	1.21428571428571
Degradation of the extracellular matrix	Platelet activation, signaling and aggregation	4	1.64285714285714
Degradation of the extracellular matrix	MHC class II antigen presentation	3	1.42857142857143
Degradation of the extracellular matrix	Cell surface interactions at the vascular wall	3	1.42857142857143
Degradation of the extracellular matrix	Dermatan sulfate biosynthesis	1	1
Degradation of the extracellular matrix	GPVI-mediated activation cascade	2	1.21428571428571
Degradation of the extracellular matrix	GP1b-IX-V activation signalling	2	1.21428571428571
Degradation of the extracellular matrix	Anchoring fibril formation	2	1.21428571428571
Degradation of the extracellular matrix	Retinoid metabolism and transport	1	1
Degradation of the extracellular matrix	Metabolism of Angiotensinogen to Angiotensins	1	1
Degradation of the extracellular matrix	Metabolism of fat-soluble vitamins	1	1
Degradation of the extracellular matrix	Crosslinking of collagen fibrils	2	1.21428571428571
Degradation of the extracellular matrix	Syndecan interactions	1	1
Degradation of the extracellular matrix	Chondroitin sulfate biosynthesis	1	1
Degradation of the extracellular matrix	NCAM1 interactions	2	1.21428571428571
Degradation of the extracellular matrix	Signaling by PDGF	3	1.42857142857143
Degradation of the extracellular matrix	HS-GAG degradation	1	1
ECM proteoglycans	Integrin cell surface interactions	7	2.28571428571429
ECM proteoglycans	Collagen degradation	4	1.64285714285714
ECM proteoglycans	Collagen formation	4	1.64285714285714
ECM proteoglycans	Assembly of collagen fibrils and other multimeric structures	4	1.64285714285714
ECM proteoglycans	Glycosaminoglycan metabolism	3	1.42857142857143
ECM proteoglycans	Laminin interactions	1	1
ECM proteoglycans	MET activates PTK2 signaling	3	1.42857142857143
ECM proteoglycans	CS/DS degradation	2	1.21428571428571
ECM proteoglycans	Collagen biosynthesis and modifying enzymes	4	1.64285714285714
ECM proteoglycans	MET promotes cell motility	3	1.42857142857143
ECM proteoglycans	Collagen chain trimerization	4	1.64285714285714
ECM proteoglycans	Non-integrin membrane-ECM interactions	5	1.85714285714286
ECM proteoglycans	Post-translational protein phosphorylation	1	1
ECM proteoglycans	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1	1
ECM proteoglycans	Chondroitin sulfate/dermatan sulfate metabolism	3	1.42857142857143
ECM proteoglycans	Platelet Adhesion to exposed collagen	2	1.21428571428571
ECM proteoglycans	Platelet Aggregation (Plug Formation)	3	1.42857142857143
ECM proteoglycans	Regulation of Complement cascade	1	1
ECM proteoglycans	Signaling by MET	3	1.42857142857143
ECM proteoglycans	Metabolism of carbohydrates	3	1.42857142857143
ECM proteoglycans	Complement cascade	1	1
ECM proteoglycans	Heparan sulfate/heparin (HS-GAG) metabolism	3	1.42857142857143
ECM proteoglycans	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
ECM proteoglycans	Platelet activation, signaling and aggregation	3	1.42857142857143
ECM proteoglycans	Cell surface interactions at the vascular wall	3	1.42857142857143
ECM proteoglycans	Dermatan sulfate biosynthesis	2	1.21428571428571
ECM proteoglycans	GPVI-mediated activation cascade	2	1.21428571428571
ECM proteoglycans	GP1b-IX-V activation signalling	2	1.21428571428571
ECM proteoglycans	Anchoring fibril formation	2	1.21428571428571
ECM proteoglycans	Retinoid metabolism and transport	1	1
ECM proteoglycans	Metabolism of fat-soluble vitamins	1	1
ECM proteoglycans	Crosslinking of collagen fibrils	2	1.21428571428571
ECM proteoglycans	Syndecan interactions	2	1.21428571428571
ECM proteoglycans	Chondroitin sulfate biosynthesis	2	1.21428571428571
ECM proteoglycans	NCAM1 interactions	2	1.21428571428571
ECM proteoglycans	Signaling by PDGF	2	1.21428571428571
ECM proteoglycans	HS-GAG degradation	1	1
Integrin cell surface interactions	Keratan sulfate degradation	1	1
Integrin cell surface interactions	Collagen degradation	4	1.64285714285714
Integrin cell surface interactions	Collagen formation	4	1.64285714285714
Integrin cell surface interactions	Assembly of collagen fibrils and other multimeric structures	4	1.64285714285714
Integrin cell surface interactions	Glycosaminoglycan metabolism	2	1.21428571428571
Integrin cell surface interactions	Laminin interactions	1	1
Integrin cell surface interactions	MET activates PTK2 signaling	3	1.42857142857143
Integrin cell surface interactions	Collagen biosynthesis and modifying enzymes	4	1.64285714285714
Integrin cell surface interactions	Keratan sulfate/keratin metabolism	1	1
Integrin cell surface interactions	MET promotes cell motility	3	1.42857142857143
Integrin cell surface interactions	Collagen chain trimerization	4	1.64285714285714
Integrin cell surface interactions	Non-integrin membrane-ECM interactions	5	1.85714285714286
Integrin cell surface interactions	Post-translational protein phosphorylation	1	1
Integrin cell surface interactions	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1	1
Integrin cell surface interactions	Chondroitin sulfate/dermatan sulfate metabolism	1	1
Integrin cell surface interactions	Platelet Adhesion to exposed collagen	2	1.21428571428571
Integrin cell surface interactions	Platelet Aggregation (Plug Formation)	3	1.42857142857143
Integrin cell surface interactions	Regulation of Complement cascade	1	1
Integrin cell surface interactions	Signaling by MET	3	1.42857142857143
Integrin cell surface interactions	Metabolism of carbohydrates	2	1.21428571428571
Integrin cell surface interactions	Complement cascade	1	1
Integrin cell surface interactions	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Integrin cell surface interactions	A tetrasaccharide linker sequence is required for GAG synthesis	1	1
Integrin cell surface interactions	Platelet activation, signaling and aggregation	3	1.42857142857143
Integrin cell surface interactions	Keratan sulfate biosynthesis	1	1
Integrin cell surface interactions	Cell surface interactions at the vascular wall	3	1.42857142857143
