"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.AROM_Rep1"	"Intensity.AROM_Rep2"	"Intensity.AROM_Rep3"	"Mean_arom"	"Median_arom"	"logFC"	"Pvalue_limma"
1601.8889	"Q3TW96"	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1"	"Uap1l1"	15325000	8058700	14696000	12693233.3333333	14696000	3.35574347920437	0.00184028595698729
876.47052	"Q61941"	"NAD(P) transhydrogenase, mitochondrial"	"Nnt"	12279000	8367100	12124000	10923366.6666667	12124000	2.08210958413061	0.0464299303890116
1315.6368	"P21107"	"Tropomyosin alpha-3 chain"	"Tpm3"	40056000	29406000	46112000	38524666.6666667	40056000	2.47428234599075	0.0251820698319391
1117.5801	"O35855"	"Branched-chain-amino-acid aminotransferase, mitochondrial"	"Bcat2"	28288000	23860000	31445000	27864333.3333333	28288000	2.47709759805298	0.0275535535281345
1391.7184	"Q9CYH2"	"Redox-regulatory protein FAM213A"	"Fam213a"	82293000	45909000	44571000	57591000	45909000	2.7820561557509	0.0130644972462151
1625.8988	"Q3TW96"	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1"	"Uap1l1"	39763000	11805000	18780000	23449333.3333333	18780000	2.82405984411723	0.00934661840301432
1003.5702	"O89020"	"Afamin"	"Afm"	5932700	11625000	9706500	9088066.66666667	9706500	2.80185481213939	0.00836202375918044
1611.8542	"O89020"	"Afamin"	"Afm"	6446100	9808400	14933000	10395833.3333333	9808400	3.49807061288833	0.0015518530491511
1997.9993	"Q921G7"	"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"	"Etfdh"	2598300	5381400	10810000	6263233.33333333	5381400	2.41142236620641	0.0250456519422306
1550.7325	"P97429"	"Annexin A4"	"Anxa4"	49508000	23393000	31931000	34944000	31931000	3.19917961289729	0.00378207564748113
1593.7999	"Q9CRB6"	"Tubulin polymerization-promoting protein family member 3"	"Tppp3"	8764100	7228500	11587000	9193200	8764100	3.01315752670813	0.00533700144687233
3455.7209	"P26039"	"Talin-1"	"Tln1"	0	7347200	5543500	4296900	5543500	2.28633995845378	0.0318593501974798
1403.7197	"P01027"	"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"	"C3"	40188000	86469000	63097000	63251333.3333333	63097000	3.25956122214221	0.00283156711961247
1621.8538	"Q9WVQ5"	"Methylthioribulose-1-phosphate dehydratase"	"Apip"	4442500	5985600	6032800	5486966.66666667	5985600	2.59560404646541	0.0194033615722897
990.49569	"P02088"	"Hemoglobin subunit beta-1"	"Hbb-b1"	285720000	727390000	722370000	578493333.333333	722370000	2.91881591916254	0.00624378629555393
1164.5411	"P48678"	"Prelamin-A/C;Lamin-A/C"	"Lmna"	14980000	16684000	26650000	19438000	16684000	3.10448256692852	0.00450546237334265
805.44464	"Q9CQI6"	"Coactosin-like protein"	"Cotl1"	34301000	19226000	44968000	32831666.6666667	34301000	2.99156261764445	0.00534998310467011
1343.6002	"Q99KC8"	"von Willebrand factor A domain-containing protein 5A"	"Vwa5a"	7592700	6599200	3414500	5868800	6599200	2.4090448693283	0.0240673374695027
1323.6064	"Q62465"	"Synaptic vesicle membrane protein VAT-1 homolog"	"Vat1"	55694000	29776000	60721000	48730333.3333333	55694000	3.00980551741798	0.00506222916375433
1391.5801	"P26039"	"Talin-1"	"Tln1"	0	2624900	5000900	2541933.33333333	2624900	2.22189654162782	0.0365945214427764
772.40792	"P48036"	"Annexin A5"	"Anxa5"	30138000	21470000	48721000	33443000	30138000	4.26663188217782	0.000136000188598554
900.50288	"P48036"	"Annexin A5"	"Anxa5"	43433000	5494800	16201000	21709600	16201000	3.91110932046526	0.00214816783707176
1719.7529	"Q9QZ82"	"Cholesterol side-chain cleavage enzyme, mitochondrial"	"Cyp11a1"	221160000	80053000	136760000	145991000	136760000	3.80926325911576	0.000604245295678093
1199.6948	"P13634"	"Carbonic anhydrase 1"	"Ca1"	0	3523300	3475200	2332833.33333333	3475200	2.31637404616453	0.0314817774899635
950.45699	"P11499"	"Heat shock protein HSP 90-beta"	"Hsp90ab1"	49441000	9842000	57616000	38966333.3333333	49441000	2.49136552144977	0.0370852863591021
2331.1899	"Q6P9R2"	"Serine/threonine-protein kinase OSR1"	"Oxsr1"	83654000	78662000	57362000	73226000	78662000	5.64842848302296	5.7029722484998e-05
1154.4662	"O89053"	"Coronin-1A"	"Coro1a"	0	5814500	6855300	4223266.66666667	5814500	2.27883944029626	0.0373733901998426
1303.619	"Q9EQP2"	"EH domain-containing protein 4"	"Ehd4"	9062000	7016100	9814900	8631000	9062000	3.73439481587095	0.000590182808553719
1880.8687	"Q921I1"	"Serotransferrin"	"Tf"	40682000	25150000	19397000	28409666.6666667	25150000	2.52705379530152	0.0171501880638857
