mass,Int
699.7526245,11058.5
699.8024292,11058.5
699.8522339,11058.5
699.9020996,11071.3
699.9519043,10494.1
700.001709,10215.9
700.0515137,10086.4
700.1013794,9896.68
700.1511841,10570.9
700.2009888,12215.4
700.2507935,14784.6
700.3006592,21147.8
700.3504639,36965.9
700.4002686,64544
700.4500732,95236.1
700.4998779,95656.4
700.5497437,56177.9
700.5995483,27211.9
700.649353,15655.4
700.6991577,12389.3
700.7490234,11327.3
700.7988281,11083.4
700.8486328,11199.7
700.8984375,10943.8
700.9483032,10475.9
700.9981079,10384.6
701.0479126,10160.1
701.0977173,10180.3
701.147583,10537
701.1973877,11458.3
701.2471924,13678.6
701.2969971,18529.2
701.3468628,35638.4
701.3966675,98242.5
701.4464722,212474
701.4962769,260804
701.5460815,119249
701.5959473,43817.9
701.645752,22376.3
701.6955566,15944.7
701.7453613,13710.7
701.7952271,12987.2
701.8450317,12637
701.8948364,12269.1
701.9446411,11668.7
701.9945068,11739.1
702.0443115,12011.6
702.0941162,12078.9
702.1439209,11882.4
702.1937866,12205.2
702.2435913,14951.2
702.293396,25953.1
702.3432007,63750.4
702.3930664,147958
702.4428711,238526
702.4926758,232660
702.5424805,129768
702.5922852,47615.2
702.6421509,23383.4
702.6919556,16687.4
702.7417603,14423.4
702.7915649,13797.1
702.8414307,13442.4
702.8912354,12441.7
702.94104,11441.3
702.9908447,11365.7
703.0407104,11420.6
703.0905151,11420.8
703.1403198,12019.6
703.1901245,13647.7
703.2399902,17187.7
703.2897949,25060.1
703.3395996,53315.9
703.3894043,108998
703.439209,150368
703.4890747,119634
703.5388794,55423.3
703.5886841,25412.6
703.6384888,16330.5
703.6883545,14096.2
703.7381592,13259.9
703.7879639,13270.7
703.8377686,13463.9
703.8876343,13122.7
703.937439,11949.6
703.9872437,11415.4
704.0370483,11416.2
704.0869141,11468.5
704.1367188,11422
704.1865234,12083.3
704.2363281,14120.1
704.2861938,20407.1
704.3359985,42107.1
704.3858032,99229.8
704.4356079,170714
704.4854126,179569
704.5352783,82288.5
704.585083,31883.5
704.6348877,18492.9
704.6846924,14810.4
704.7345581,13370.2
704.7843628,12558.4
704.8341675,12032.1
704.8839722,11450.8
704.9338379,10739.7
704.9836426,10505.9
705.0334473,10303.5
705.083252,10436.1
705.1331177,10631.3
705.1829224,11100.1
705.2327271,12481.8
705.2825317,16895.3
705.3323975,31137.6
705.3822021,64273.7
705.4320068,100590
705.4818115,101488
705.5316162,57140.7
705.5814819,27165.2
705.6312866,16940.1
705.6810913,13584.1
705.730896,12197
705.7807617,11687.4
705.8305664,11164
705.8803711,10441.5
705.9301758,10047.7
705.9800415,10002.5
706.0298462,9933.14
706.0796509,9916.71
706.1294556,10269.8
706.1793213,11114.1
706.229126,12536
706.2789307,16940.9
706.3287354,30446.7
706.3786011,56675.1
706.4284058,79883.5
706.4782104,69984.4
706.5280151,44675.5
706.5778198,24143
706.6276855,14963
706.6774902,11978.5
706.7272949,11118.1
706.7770996,10611.8
706.8269653,10565.3
706.87677,10324.7
706.9265747,9654.58
706.9763794,9451.05
707.0262451,9265.94
707.0760498,9105.51
707.1258545,9232.3
707.1756592,10099.4
707.2255249,11992.5
707.2753296,15148.7
707.3251343,22456.4
707.374939,40114.2
707.4248047,57032.1
707.4746094,50128.7
707.5244141,32894.7
707.5742188,19935.9
707.6240234,13679.1
707.6738892,11268.2
707.7236938,10575.1
707.7734985,10441.3
707.8233032,10639.5
707.8731689,10662.8
707.9229736,10361.4
707.9727783,10186.1
708.022583,10014.1
708.0724487,9857.28
708.1222534,9905.24
708.1720581,10633.4
708.2218628,12501.4
708.2717285,19280.2
708.3215332,39393.8
708.3713379,63906.9
708.4211426,86159.1
708.4710083,79497.3
708.520813,43483
708.5706177,22566.3
708.6204224,14984.2
708.6702271,12031.6
708.7200928,11056.6
708.7698975,10667.7
708.8197021,10713.9
708.8695068,10722.1
708.9193726,10542.8
708.9691772,10540.3
709.0189819,10346.4
709.0687866,10074
709.1186523,10155.4
709.168457,11038.3
709.2182617,13264.8
709.2680664,19212.2
709.3179321,37586.9
709.3677368,81427.5
709.4175415,159759
709.4673462,222052
709.5172119,280188
709.5670166,221941
709.6168213,70275.9
709.666626,30613.9
709.7164307,20240.1
709.7662964,16337.2
709.8161011,14625.1
709.8659058,13287.2
709.9157104,12649.3
709.9655762,11611.7
710.0153809,10852.9
710.0651855,10576.2
710.1149902,11032.9
710.164856,12417.7
710.2146606,13821
710.2644653,17390.8
710.31427,30413.5
710.3641357,68430.9
710.4139404,145573
710.4637451,205943
710.5135498,217751
710.5634155,139884
710.6132202,50249
710.6630249,24261.2
710.7128296,17135.8
710.7626343,14483.7
710.8125,13417.2
710.8623047,12415.3
710.9121094,11598.1
710.9619141,10915.7
711.0117798,10479.8
711.0615845,10198.8
711.1113892,10594.5
711.1611938,11479.7
711.2110596,13062.6
711.2608643,16876.2
711.3106689,29258.5
