"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.AROM_Rep1"	"Intensity.AROM_Rep2"	"Intensity.AROM_Rep3"	"Mean_arom"	"Median_arom"	"logFC"	"Pvalue_limma"
1607.7176	"Q80WW9"	"DDRGK domain-containing protein 1"	"Ddrgk1"	4365700	2761200	2920300	3349066.66666667	2920300	0.359701802269645	0.726734224116999
1601.8889	"Q3TW96"	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1"	"Uap1l1"	15325000	8058700	14696000	12693233.3333333	14696000	3.35574347920437	0.00184028595698729
2315.1129	"O35226"	"26S proteasome non-ATPase regulatory subunit 4"	"Psmd4"	11402000	1768800	5037100	6069300	5037100	0.959364964733059	0.383346025612571
1945.9316	"Q9DB43"	"Zinc finger protein-like 1"	"Zfpl1"	0	1839500	3173000	1670833.33333333	1839500	0.40588488841813	0.694370142141571
1503.7205	"P97807"	"Fumarate hydratase, mitochondrial"	"Fh"	15611000	9954600	18959000	14841533.3333333	15611000	1.21701728854962	0.245191448318601
1648.7944	"P26039"	"Talin-1"	"Tln1"	7806200	6538000	0	4781400	6538000	1.38892592179992	0.20861031001717
1004.5291	"Q9CZW5"	"Mitochondrial import receptor subunit TOM70"	"Tomm70a"	14107000	5779400	11373000	10419800	11373000	0.557093827369499	0.589178614865483
1313.6939	"Q6PD26"	"GPI transamidase component PIG-S"	"Pigs"	3105700	1587500	1753700	2148966.66666667	1753700	0.562238527756729	0.583207480891478
1655.873	"Q9D4J1"	"EF-hand domain-containing protein D1"	"Efhd1"	5216400	6333900	6455300	6001866.66666667	6333900	1.22238827029194	0.236169572846884
1003.5451	"Q60864"	"Stress-induced-phosphoprotein 1"	"Stip1"	25261000	9476100	17652000	17463033.3333333	17652000	0.713268661891944	0.494640088003102
876.47052	"Q61941"	"NAD(P) transhydrogenase, mitochondrial"	"Nnt"	12279000	8367100	12124000	10923366.6666667	12124000	2.08210958413061	0.0464299303890116
972.49886	"Q9CRB9"	"MICOS complex subunit Mic19"	"Chchd3"	11090000	2610900	12710000	8803633.33333333	11090000	1.71094507177011	0.120732902066793
1255.6772	"Q921M4"	"Golgin subfamily A member 2"	"Golga2"	0	1778200	3506600	1761600	1778200	0.36127802302425	0.734387557032603
858.45593	"P23492"	"Purine nucleoside phosphorylase"	"Pnp"	0	8677900	12242000	6973300	8677900	2.14308119198475	0.0725054805537846
969.46281	"P14685"	"26S proteasome non-ATPase regulatory subunit 3"	"Psmd3"	9263700	1782800	7306800	6117766.66666667	7306800	0.994410790390695	0.358857961491279
2366.1866	"Q9R0H0"	"Peroxisomal acyl-coenzyme A oxidase 1"	"Acox1"	8184900	0	12722000	6968966.66666667	8184900	0.350042325997668	0.746371942649446
1326.6416	"P28667"	"MARCKS-related protein"	"Marcksl1"	35965000	9091600	9414000	18156866.6666667	9414000	0.561377229370185	0.592053860086161
801.43447	"Q64727"	"Vinculin"	"Vcl"	21375000	2516900	51926000	25272633.3333333	21375000	0.596875437318661	0.585195491372345
800.4756	"Q9QXK3"	"Coatomer subunit gamma-2"	"Copg2"	0	2885200	4175400	2353533.33333333	2885200	0.977688384556771	0.358975817155717
1288.6445	"Q9CR00"	"26S proteasome non-ATPase regulatory subunit 9"	"Psmd9"	15085000	8354900	17046000	13495300	15085000	0.401323499571632	0.697209863151536
1132.5335	"Q9CZX0"	"Elongator complex protein 3"	"Elp3"	0	1052400	1163600	738666.666666667	1052400	0.526565512217563	0.60978844531469
896.39968	"Q9JI46"	"Diphosphoinositol polyphosphate phosphohydrolase 3-beta;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha;Diphosphoinositol polyphosphate phosphohydrolase 2;Diphosphoinositol polyphosphate phosphohydrolase 1"	"Nudt11;Nudt10;Nudt4;Nudt3"	2507300	1485500	3958700	2650500	2507300	0.703601436748837	0.49298385498616
1788.8101	"Q8VDJ3"	"Vigilin"	"Hdlbp"	5081700	2929000	6369400	4793366.66666667	5081700	1.78102914684404	0.0892704241919466
1828.7204	"O08759"	"Ubiquitin-protein ligase E3A"	"Ube3a"	2075300	1049600	0	1041633.33333333	1049600	0.91517072219043	0.381070249598247
1315.6368	"P21107"	"Tropomyosin alpha-3 chain"	"Tpm3"	40056000	29406000	46112000	38524666.6666667	40056000	2.47428234599075	0.0251820698319391
1886.7806	"Q9ERK4"	"Exportin-2"	"Cse1l"	8677900	4371400	3604000	5551100	4371400	0.576044325297552	0.588596758005447
2800.3603	"P70296"	"Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide"	"Pebp1"	1246600000	291890000	479830000	672773333.333333	479830000	0.109582856134258	0.917209925630506
1292.7089	"O54781"	"SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal"	"Srpk2"	5398500	1067700	2565700	3010633.33333333	2565700	0.565996411028309	0.589838601553274
1117.5801	"O35855"	"Branched-chain-amino-acid aminotransferase, mitochondrial"	"Bcat2"	28288000	23860000	31445000	27864333.3333333	28288000	2.47709759805298	0.0275535535281345
1724.775	"Q9ET47"	"Espin"	"Espn"	4759900	2301000	4072300	3711066.66666667	4072300	0.643319020308514	0.537387099724942
895.45118	"P52480"	"Pyruvate kinase PKM"	"Pkm"	16898000	8136500	0	8344833.33333333	8136500	0.634921935722306	0.564027907668311
1012.5917	"Q9WTX2"	"Interferon-inducible double-stranded RNA-dependent protein kinase activator A"	"Prkra"	13992000	7897500	11805000	11231500	11805000	1.00706496924352	0.329203141018964
1816.8625	"Q99MV7"	"RING finger protein 17"	"Rnf17"	8461200	3077300	3521600	5020033.33333333	3521600	0.233197093972371	0.822090375252238
1356.682	"O70133"	"ATP-dependent RNA helicase A"	"Dhx9"	22364000	7529500	16253000	15382166.6666667	16253000	0.842758838978453	0.420546427143946
1997.0793	"P67778"	"Prohibitin"	"Phb"	80602000	17824000	14343000	37589666.6666667	17824000	0.993314635370746	0.356014255502283
978.52084	"Q9WUR2"	"Enoyl-CoA delta isomerase 2, mitochondrial"	"Eci2;Eci3"	8596200	5967500	11276000	8613233.33333333	8596200	1.30140324310188	0.210496643155555
2063.0535	"P30416"	"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"	"Fkbp4"	33947000	15407000	24118000	24490666.6666667	24118000	0.696777643903517	0.499364848825627
2381.1784	"P27546"	"Microtubule-associated protein 4"	"Map4"	18602000	15630000	16811000	17014333.3333333	16811000	2.12414952233479	0.0656856759836651
1165.5285	"Q9Z1P6"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7"	"Ndufa7"	7240200	3139400	10175000	6851533.33333333	7240200	1.18206581488247	0.263768369058163
996.52401	"Q9D1J3"	"SAP domain-containing ribonucleoprotein"	"Sarnp"	21674000	14064000	17975000	17904333.3333333	17975000	0.557947869030292	0.589374984519215
2086.9583	"P62259"	"14-3-3 protein epsilon"	"Ywhae"	1136900000	199620000	310650000	549056666.666667	310650000	0.0938331048916664	0.930690416565357
1756.8454	"Q8K2B3"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"Sdha"	38869000	18868000	16205000	24647333.3333333	18868000	1.85989043732471	0.0878924921704705
1131.5825	"P47738"	"Aldehyde dehydrogenase, mitochondrial"	"Aldh2"	5728600	2562800	0	2763800	2562800	0.630409532590569	0.552872049096444
2015.9153	"Q3UQ44"	"Ras GTPase-activating-like protein IQGAP2"	"Iqgap2"	2635700	0	4042900	2226200	2635700	0.083033229382811	0.937854757791037
1478.7729	"Q8BK67"	"Protein RCC2"	"Rcc2"	5827800	5941400	5746700	5838633.33333333	5827800	0.67552982501423	0.508649692260166
973.5015	"Q61941"	"NAD(P) transhydrogenase, mitochondrial"	"Nnt"	0	3153800	7447700	3533833.33333333	3153800	0.797350883541965	0.463547858883548
818.37701	"P97351"	"40S ribosomal protein S3a"	"Rps3a"	9600700	5761000	0	5120566.66666667	5761000	1.0330821823038	0.401916536968495
