"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.WT_Rep1"	"Intensity.WT_Rep2"	"Intensity.WT_Rep3"	"Mean_wt"	"Median_wt"	"logFC"	"Pvalue_limma"
2700.4235	"Q8BKC5"	"Importin-5"	"Ipo5"	28446000	0	1189800	9878600	1189800	-0.676642128744528	0.578293768694668
2356.0199	"Q9D8N0"	"Elongation factor 1-gamma"	"Eef1g"	63512000	25735000	5732600	31659866.6666667	25735000	-0.395848700750237	0.7154818340348
2105.8783	"Q3TUU5"	"Testis-expressed sequence 30 protein"	"Tex30"	16821000	10105000	4347000	10424333.3333333	10105000	-1.21688385662119	0.23972427677577
3276.3949	"P55264"	"Adenosine kinase"	"Adk"	15839000	5086800	5596500	8840766.66666667	5596500	-0.433200449531151	0.688544025549155
2042.8817	"Q9ERK4"	"Exportin-2"	"Cse1l"	14241000	3969700	5058400	7756366.66666667	5058400	-0.810602186951047	0.451452166022273
2534.1826	"Q60931"	"Voltage-dependent anion-selective channel protein 3"	"Vdac3"	56563000	40473000	12577000	36537666.6666667	40473000	-1.60451054831088	0.175400999448039
987.48729	"Q6ZQ38"	"Cullin-associated NEDD8-dissociated protein 1"	"Cand1"	25103000	14567000	6227300	15299100	14567000	-1.68405253849842	0.153847505514441
801.43447	"P31786"	"Acyl-CoA-binding protein"	"Dbi"	18022000	8731800	9185800	11979866.6666667	9185800	-0.926645930240506	0.389582906510691
3166.4255	"P97742"	"Carnitine O-palmitoyltransferase 1, liver isoform"	"Cpt1a"	8625000	3942900	2160300	4909400	3942900	-0.208937916631508	0.847422049991954
1289.5055	"Q8VC30"	"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)"	"Dak"	53357000	69931000	26835000	50041000	53357000	-1.27164087790228	0.217761647903069
1057.5954	"Q9WTM5"	"RuvB-like 2"	"Ruvbl2"	11506000	7129200	2503600	7046266.66666667	7129200	-0.715328920540515	0.512617882141067
1536.7355	"P80314"	"T-complex protein 1 subunit beta"	"Cct2"	67371000	15161000	0	27510666.6666667	15161000	-0.00107373829242436	0.999291440615054
