"LFQ.intensity.AROM_Rep1"	"LFQ.intensity.AROM_Rep2"	"LFQ.intensity.AROM_Rep3"	"LFQ.intensity.WT_Rep1"	"LFQ.intensity.WT_Rep2"	"LFQ.intensity.WT_Rep3"	"id"	"Uniprot"	"Symbol"	"ProteinNames"
0	0	0	0	10928000	9018000	8	"A2AC93"	"Dnai2"	"Dynein intermediate chain 2, axonemal"
0	0	0	2184800	0	0	11	"A2AI08"	"Tprn"	"Taperin"
0	0	0	1750200	0	0	12	"A2AIW0"	"Sdccag3"	"Serologically defined colon cancer antigen 3 homolog"
0	0	0	0	32529000	0	14	"A2AJK6"	"Chd7"	"Chromodomain-helicase-DNA-binding protein 7"
0	0	0	1648600	0	0	27	"A2BH40"	"Arid1a"	"AT-rich interactive domain-containing protein 1A"
0	0	0	9045700	0	0	30	"A2RTF1"	"Catsperb"	"Cation channel sperm-associated protein subunit beta"
0	0	0	2474500	0	0	31	"A2TJV2"	"Palm3"	"Paralemmin-3"
0	0	0	4813900	0	0	37	"A6H5Y1"	"Mphosph9"	"M-phase phosphoprotein 9"
0	0	0	0	5272900	0	40	"A6H611"	"Mipep"	"Mitochondrial intermediate peptidase"
0	0	0	0	8052200	0	42	"A6H639"	"Tcte1"	"T-complex-associated testis-expressed protein 1"
0	0	0	0	3903700	0	44	"A6H690"	"Iqca1l"	"IQ and AAA domain-containing protein 1-like"
0	0	0	0	0	731870	55	"B2RSH2"	"Gnai1"	"Guanine nucleotide-binding protein G(i) subunit alpha-1"
0	0	0	9086800	0	0	101	"E9Q743"	"Wdr66"	""
0	0	0	2725600	0	0	104	"E9Q8D0"	"Dnajc21"	""
0	0	0	2762800	0	0	105	"E9Q8T7"	"Dnah1"	""
0	0	0	0	6163300	0	107	"F6YCR7"	"Rhox13"	""
0	0	0	0	0	2741900	111	"G3UW99"	"Tex54"	""
0	0	0	0	14743000	0	112	"G3X982"	"Aox3"	"Aldehyde oxidase 3"
0	0	0	9986400	0	0	131	"O08715"	"Akap1"	"A-kinase anchor protein 1, mitochondrial"
0	0	0	0	2544900	0	136	"O08740"	"Polr2j"	"DNA-directed RNA polymerase II subunit RPB11"
0	0	0	0	1639800	0	153	"O09005"	"Degs1"	"Sphingolipid delta(4)-desaturase DES1"
0	0	0	15849000	0	0	160	"O09107"	"Insl3"	"Insulin-like 3;Insulin-like 3 B chain;Insulin-like 3 A chain"
0	0	0	0	30887000	36599000	162	"O09114"	"Ptgds"	"Prostaglandin-H2 D-isomerase"
0	0	0	2804400	0	0	172	"O35066"	"Kif3c"	"Kinesin-like protein KIF3C"
0	0	0	0	0	1431200	184	"O35207"	"Cdk2ap1"	"Cyclin-dependent kinase 2-associated protein 1"
0	0	0	1872000	0	0	199	"O35435"	"Dhodh"	"Dihydroorotate dehydrogenase (quinone), mitochondrial"
0	0	0	1585700	0	0	212	"O35613"	"Daxx"	"Death domain-associated protein 6"
0	0	0	3931000	0	0	216	"O35648"	"Cetn3"	"Centrin-3"
0	0	0	1424400	0	0	217	"O35654"	"Pold2"	"DNA polymerase delta subunit 2"
0	0	0	0	0	4299200	221	"O35683"	"Ndufa1"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1"
0	0	0	0	0	3217900	233	"O35943"	"Fxn"	"Frataxin, mitochondrial;Frataxin intermediate form;Frataxin mature form"
0	0	0	1433400	0	0	266	"O55100"	"Syngr1"	"Synaptogyrin-1"
0	0	0	0	839830	0	274	"O55137"	"Acot1"	"Acyl-coenzyme A thioesterase 1"
0	0	0	2322500	0	0	285	"O70139"	"Pkig"	"cAMP-dependent protein kinase inhibitor gamma"
0	0	0	3365000	0	0	287	"O70146"	"Tesk1"	"Dual specificity testis-specific protein kinase 1;Aurora kinase A"
0	0	0	3749600	0	0	297	"O70274"	"Ptp4a2"	"Protein tyrosine phosphatase type IVA 2;Protein tyrosine phosphatase type IVA 1"
0	0	0	0	2879800	0	298	"O70305"	"Atxn2"	"Ataxin-2"
0	0	0	5212000	0	0	304	"O70348"	"Dxo"	"Decapping and exoribonuclease protein"
0	0	0	30299000	0	0	310	"O70422"	"Gtf2h4"	"General transcription factor IIH subunit 4"
0	0	0	0	7265800	0	319	"O70481"	"Ubr1"	"E3 ubiquitin-protein ligase UBR1"
0	0	0	0	0	4224500	342	"O88507"	"Cntfr"	"Ciliary neurotrophic factor receptor subunit alpha"
0	0	0	0	0	10238000	343	"O88513"	"Gmnn"	"Geminin"
0	0	0	0	10186000	10567000	353	"O88622"	"Parg"	"Poly(ADP-ribose) glycohydrolase"
0	0	0	0	1661800	0	363	"O88738"	"Birc6"	"Baculoviral IAP repeat-containing protein 6"
0	0	0	0	0	3200100	367	"O88845"	"Akap10"	"A-kinase anchor protein 10, mitochondrial"
0	0	0	0	0	2571700	372	"O88892"	"Serf1"	"Small EDRK-rich factor 1;Small EDRK-rich factor 2"
0	0	0	2870600	0	0	373	"Q8C5D8"	"Pias2"	"E3 SUMO-protein ligase PIAS2;E3 SUMO-protein ligase PIAS1"
0	0	0	0	26219000	0	391	"P00158"	"Mt-Cyb"	"Cytochrome b"
0	0	0	0	0	3355100	406	"P01633"	"Igk-V19-17"	"Ig kappa chain V19-17"
0	0	0	2428500	0	0	408	"P01636"	NA	"Ig kappa chain V-V region MOPC 149"
0	0	0	0	0	2484200	409	"P01638"	NA	"Ig kappa chain V-V region L6;Ig kappa chain V-V region T1"
0	0	0	0	0	2066400	417	"P01741"	NA	"Ig heavy chain V region"
0	0	0	1075300	0	0	419	"P01801"	NA	"Ig heavy chain V-III region J606;Ig heavy chain V-III region T957;Ig heavy chain V-III region ABE-47N;Ig heavy chain V-III region E109;Ig heavy chain V-III region U61;Ig heavy chain V-III region A4;Ig heavy chain V-III region W3082"
0	0	0	0	0	4114900	420	"P01806"	NA	"Ig heavy chain V region 441;Ig heavy chain V region T601;Ig heavy chain V region X44;Ig heavy chain V region MOPC 173;Ig heavy chain V region X24;Ig heavy chain V region J539"
0	0	0	0	0	3292700	421	"P01831"	"Thy1"	"Thy-1 membrane glycoprotein"
0	0	0	0	0	6412400	423	"P01863"	"Ighg"	"Ig gamma-2A chain C region, A allele;Ig gamma-2A chain C region, membrane-bound form"
0	0	0	1888700	0	0	428	"P01887"	"B2m"	"Beta-2-microglobulin"
0	0	0	0	0	29429000	440	"P02772"	"Afp"	"Alpha-fetoprotein"
0	0	0	0	0	4015800	442	"P03899"	"Mtnd3"	"NADH-ubiquinone oxidoreductase chain 3"
0	0	0	0	0	2804800	443	"P03911"	"Mtnd4"	"NADH-ubiquinone oxidoreductase chain 4"
0	0	0	0	0	2150800	444	"P03921"	"Mtnd5"	"NADH-ubiquinone oxidoreductase chain 5"
0	0	0	0	0	305120000	448	"P03966"	"Mycn"	"N-myc proto-oncogene protein"
0	0	0	0	6589200	0	449	"P03976"	NA	"Ig kappa chain V-II region 17S29.1"
0	0	0	0	0	2988000	464	"P05480"	"Src"	"Neuronal proto-oncogene tyrosine-protein kinase Src"
0	0	0	0	0	112030000	485	"P07758"	"Serpina1a"	"Alpha-1-antitrypsin 1-1"
0	0	0	5463600	0	0	500	"P08414"	"Camk4"	"Calcium/calmodulin-dependent protein kinase type IV"
0	0	0	0	4964400	0	502	"P08556"	"Nras"	"GTPase NRas"
0	0	0	0	0	37431000	515	"P09542"	"Myl3"	"Myosin light chain 3"
0	0	0	0	0	2181500	517	"P09602"	"Hmgn2"	"Non-histone chromosomal protein HMG-17"
0	0	0	0	0	3739500	520	"P09925"	"Surf1"	"Surfeit locus protein 1"
0	0	0	1142900	0	0	521	"P0C028"	"Nudt11"	"Diphosphoinositol polyphosphate phosphohydrolase 3-beta;Diphosphoinositol polyphosphate phosphohydrolase 3-alpha"
0	0	0	0	8563100	0	524	"P0C1V4"	"Tmco2"	"Transmembrane and coiled-coil domain-containing protein 2"
0	0	0	2339400	0	0	526	"P0C7L0"	"Wipf3"	"WAS/WASL-interacting protein family member 3"
0	0	0	0	6419900	0	528	"P0C8K7"	"Smim1"	"Small integral membrane protein 1"
0	0	0	2960200	0	0	543	"P10833"	"Rras"	"Ras-related protein R-Ras"
0	0	0	15206000	0	0	552	"P11378"	"Tnp2"	"Nuclear transition protein 2"
0	0	0	0	0	8693900	558	"P11589"	"Mup2"	"Major urinary protein 2"
0	0	0	0	0	15449000	559	"P11672"	"Lcn2"	"Neutrophil gelatinase-associated lipocalin"
0	0	0	0	6021300	0	563	"P11930"	"Nudt19"	"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial"
0	0	0	0	0	1235800	566	"P12023"	"App"	"Amyloid beta A4 protein;N-APP;Soluble APP-alpha;Soluble APP-beta;C99;Beta-amyloid protein 42;Beta-amyloid protein 40;C83;P3(42);P3(40);C80;Gamma-secretase C-terminal fragment 59;Gamma-secretase C-terminal fragment 57;Gamma-secretase C-terminal fragment 50;C31"
0	0	0	0	0	30641000	617	"P16563"	"Crisp2"	"Cysteine-rich secretory protein 2"
0	0	0	0	886280000	0	650	"P19639"	"Gstm3"	"Glutathione S-transferase Mu 3"
0	0	0	3646600	0	0	657	"P20357"	"Map2"	"Microtubule-associated protein 2"
0	0	0	0	770780	0	658	"P68404"	"Prkcb"	"Protein kinase C beta type;Protein kinase C alpha type"
0	0	0	0	0	45740000	666	"P21300"	"Akr1b7"	"Aldose reductase-related protein 1"
0	0	0	90856000	85634000	72986000	694	"P24457"	"Cyp2d11"	"Cytochrome P450 2D11;Cytochrome P450 2D9"
0	0	0	2142900	0	0	700	"P24788"	"Cdk11b"	"Cyclin-dependent kinase 11B"
0	0	0	5428500	0	0	721	"P27601"	"Gna13"	"Guanine nucleotide-binding protein subunit alpha-13"
0	0	0	0	0	72957000	752	"P29595"	"Nedd8"	"NEDD8"
0	0	0	0	30428000	21374000	780	"P32766"	"Cst8"	"Cystatin-8"
0	0	0	2229400	0	0	786	"P34152"	"Ptk2"	"Focal adhesion kinase 1"
0	0	0	0	0	6194000	798	"P35459"	"Ly6d"	"Lymphocyte antigen 6D"
0	0	0	0	0	1411900	875	"P46737"	"Brcc3"	"Lys-63-specific deubiquitinase BRCC36"
0	0	0	5392000	0	0	916	"P49135"	"Ercc3"	"TFIIH basal transcription factor complex helicase XPB subunit"
0	0	0	0	0	2155100	930	"P49769"	"Psen1"	"Presenilin-1;Presenilin-1 NTF subunit;Presenilin-1 CTF subunit;Presenilin-1 CTF12;Presenilin-2;Presenilin-2 NTF subunit;Presenilin-2 CTF subunit"
0	0	0	4882100	0	0	957	"P51557"	"Star"	"Steroidogenic acute regulatory protein, mitochondrial"
0	0	0	2824400	0	0	969	"P51954"	"Nek1"	"Serine/threonine-protein kinase Nek1"
0	0	0	13264000	0	0	974	"P52432"	"Polr1c"	"DNA-directed RNA polymerases I and III subunit RPAC1"
0	0	0	2816200	0	0	980	"P52875"	"Tmem165"	"Transmembrane protein 165"
0	0	0	0	0	1945700	983	"P53612"	"Rabggtb"	"Geranylgeranyl transferase type-2 subunit beta"
0	0	0	1724800	0	0	985	"P53798"	"Fdft1"	"Squalene synthase"
0	0	0	6267900	0	0	986	"P53808"	"Pctp"	"Phosphatidylcholine transfer protein"
0	0	0	3115700	0	0	996	"P54276"	"Msh6"	"DNA mismatch repair protein Msh6"
0	0	0	0	0	6957600	1011	"P55258"	"Rab8a"	"Ras-related protein Rab-8A"
0	0	0	0	0	166670000	1015	"P55821"	"Stmn2"	"Stathmin-2"
0	0	0	24065000	0	0	1017	"P56135"	"Atp5j2"	"ATP synthase subunit f, mitochondrial"
0	0	0	1085200	0	0	1019	"P56371"	"Rab4a"	"Ras-related protein Rab-4A"
0	0	0	9787000	0	0	1022	"P56379"	"Mp68"	"6.8 kDa mitochondrial proteolipid"
0	0	0	7594100	0	0	1025	"P56387"	"Dynlt3"	"Dynein light chain Tctex-type 3"
0	0	0	8506200	0	0	1029	"P56394"	"Cox17"	"Cytochrome c oxidase copper chaperone"
