"Uniprot"	"ProteinNames"	"Symbol"	"LFQ.intensity.AROM_Rep1"	"LFQ.intensity.AROM_Rep2"	"LFQ.intensity.AROM_Rep3"	"LFQ.intensity.WT_Rep1"	"LFQ.intensity.WT_Rep2"	"LFQ.intensity.WT_Rep3"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
"A1EGX6"	"Fibrous sheath CABYR-binding protein"	"Fscb"	23506000	8173800	10782000	88913000	31211000	28230000	-1.74698178718919	-2.50022527651108	-3.03905442888594	0.0667504732593458	0.021157552210696	0.0970984959317932	0.0453663550129379	4	2.37770806225332	0.0975256303366687	0.732334899317624	0.495668199914662	"Not Significant"	"Not Significant"	1.67453457873892	1.17554565081442
"A2A432"	"Cullin-4B"	"Cul4b"	46536000	55022000	47005000	52759000	62479000	51475000	-0.165163496705938	-1.40392108902165	-0.910302765009465	0.233017941801747	0.39576260583405	0.217530838987637	0.300908783000295	4	2.37770806225332	0.0975256303366687	0.0207603179713776	0.0493796119764812	"Not Significant"	"Not Significant"	0.402565243093584	0.632610638091994
"A2A5R2"	"Brefeldin A-inhibited guanine nucleotide-exchange protein 2"	"Arfgef2"	9379000	0	11095000	9968200	0	0	-0.199993036829421	-0.497070051584328	-0.563935236868618	0.645220009955924	0.592063205574699	0.409511536651176	0.386559253141611	4	2.37770806225332	0.0975256303366687	0.242820759809344	0.188652491619398	"Not Significant"	"Not Significant"	0.227631927792173	0.190292172469241
"A2A6C4"	"Signal peptide peptidase-like 2C"	"Sppl2c"	8456400	0	0	18815000	12158000	0	-0.0175910052335811	-0.0230763719077971	-0.0282154907946625	0.982694640895337	0.978352640670454	0.511755209702147	0.509989400758112	4	2.37770806225332	0.0975256303366687	0.871640729472741	0.583038665163521	"Not Significant"	"Not Significant"	0.00950457845061173	0.00758141235738793
"A2A8Z1"	"Oxysterol-binding protein-related protein 9"	"Osbpl9"	17290000	19936000	12288000	15892000	20646000	14929000	-0.0699055214816027	-0.277557742549007	-0.276274762308842	0.795106522659358	0.791073233210461	0.461870014090268	0.457305274546786	4	2.37770806225332	0.0975256303366687	0.0951497223810681	0.0960354975601859	"Not Significant"	"Not Significant"	0.101783310045947	0.0995746837912283
"A2A9I7"	"Doublesex- and mab-3-related transcription factor B1"	"Dmrtb1"	28628000	11961000	0	55392000	55875000	95153000	-2.27491836689667	-3.67797881349181	-4.42602323349496	0.0212416372668169	0.0038340092988856	0.057442758750452	0.0201739416076543	4	2.37770806225332	0.0975256303366687	0.573858008392625	0.396273941426758	"Significant"	"Significant"	2.4163468381325	1.67281201167061
"A2A9R3"	""	"Mageb4"	7780300	8401700	9145000	11009000	7553000	5047300	0.170105692645383	0.51274502080764	0.556996127070901	0.635146439172466	0.596522467517166	0.405902382557032	0.388391910106021	4	2.37770806225332	0.0975256303366687	0.165092008442755	0.139902219196846	"Not Significant"	"Not Significant"	0.224373194349095	0.19712613235773
"A2ADY9"	"Protein DDI1 homolog 2"	"Ddi2"	9414900	13126000	18555000	3644600	5075200	5234300	1.52193850836442	4.6356919694951	5.02201025063785	0.00976546209511678	0.0020088234444447	0.0433694260933347	0.0158382333742418	4	2.37770806225332	0.0975256303366687	0.161680010881364	0.137762267020869	"Not Significant"	"Not Significant"	2.69705823173005	2.01030720136628
"A2AGT5"	"Cytoskeleton-associated protein 5"	"Ckap5"	200270000	211130000	204710000	232380000	273030000	190830000	-0.161391295486931	-1.06844772645099	-0.821995994575941	0.345510546636724	0.4407209653603	0.282319029935299	0.324129481907812	4	2.37770806225332	0.0975256303366687	0.0342251149849721	0.0578245247145141	"Not Significant"	"Not Significant"	0.355836289350037	0.461538691339785
"A2AKQ8"	"Tetratricopeptide repeat protein 30A2;Tetratricopeptide repeat protein 30B;Tetratricopeptide repeat protein 30A1"	"Ttc30a2"	13079000	0	0	23088000	19534000	14800000	-1.14951179949972	-3.09484637071456	-3.45392130165357	0.0364026435933916	0.0123145532024793	0.0709900034435371	0.0339876406763738	4	2.37770806225332	0.0975256303366687	0.206937851358631	0.166147285610934	"Not Significant"	"Not Significant"	1.90958134064322	1.43886707634178
