"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.WT_Rep1"	"Intensity.WT_Rep2"	"Intensity.WT_Rep3"	"Mean_wt"	"Median_wt"	"logFC"	"Pvalue_limma"
2534.1826	"Q60931"	"Voltage-dependent anion-selective channel protein 3"	"Vdac3"	56563000	40473000	12577000	36537666.6666667	40473000	-1.60451054831088	0.175400999448039
987.48729	"Q6ZQ38"	"Cullin-associated NEDD8-dissociated protein 1"	"Cand1"	25103000	14567000	6227300	15299100	14567000	-1.68405253849842	0.153847505514441
1381.6772	"Q9EQH3"	"Vacuolar protein sorting-associated protein 35"	"Vps35"	8493500	5346200	2975600	5605100	5346200	-1.78641196672373	0.119017336179022
1980.9752	"Q9CQ46"	"EF-hand calcium-binding domain-containing protein 2"	"Efcab2"	6685000	4538500	2017500	4413666.66666667	4538500	-2.01258113247955	0.0583236243712311
758.41742	"Q9CX86"	"Heterogeneous nuclear ribonucleoprotein A0"	"Hnrnpa0"	20456000	9005200	2894900	10785366.6666667	9005200	-3.00817725713659	0.0227772503937474
2390.2059	"P28665"	"Murinoglobulin-1"	"Mug1"	53368000	9948800	9425200	24247333.3333333	9948800	-1.77020721908248	0.118300621749017
1546.745	"P51174"	"Long-chain specific acyl-CoA dehydrogenase, mitochondrial"	"Acadl"	13486000	17118000	7433000	12679000	13486000	-1.52410067908567	0.157201787284298
2329.011	"P05213"	"Tubulin alpha-1B chain;Tubulin alpha-3 chain;Tubulin alpha-4A chain;Tubulin alpha-1A chain;Tubulin alpha-1C chain;Tubulin alpha-8 chain"	"Tuba1b;Tuba3a;Tuba4a;Tuba1a;Tuba1c;Tuba8"	366940000	187740000	38388000	197689333.333333	187740000	-2.37827240730072	0.0924916712866862
3198.4604	"P05214"	"Tubulin alpha-3 chain;Tubulin alpha-8 chain"	"Tuba3a;Tuba8"	712440000	115530000	80224000	302731333.333333	115530000	-2.79648096362635	0.0472083471669041
3216.4169	"P05213"	"Tubulin alpha-1B chain;Tubulin alpha-4A chain;Tubulin alpha-1A chain;Tubulin alpha-1C chain"	"Tuba1b;Tuba4a;Tuba1a;Tuba1c"	214210000	54866000	60631000	109902333.333333	60631000	-1.60831416567215	0.211078849187832
