"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.WT_Rep1"	"Intensity.WT_Rep2"	"Intensity.WT_Rep3"	"Mean_wt"	"Median_wt"	"logFC"	"Pvalue_limma"
758.41742	"Q9CX86"	"Heterogeneous nuclear ribonucleoprotein A0"	"Hnrnpa0"	20456000	9005200	2894900	10785366.6666667	9005200	-3.00817725713659	0.0227772503937474
3198.4604	"P05214"	"Tubulin alpha-3 chain;Tubulin alpha-8 chain"	"Tuba3a;Tuba8"	712440000	115530000	80224000	302731333.333333	115530000	-2.79648096362635	0.0472083471669041
1002.5134	"P61164"	"Alpha-centractin;Beta-centractin"	"Actr1a;Actr1b"	25592000	15762000	7192300	16182100	15762000	-2.55233617720651	0.0319109998910579
1815.8904	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	149470000	56178000	27312000	77653333.3333333	56178000	-4.76716907049259	5.21134973373207e-05
1097.5717	"O35490"	"Betaine--homocysteine S-methyltransferase 1;S-methylmethionine--homocysteine S-methyltransferase BHMT2"	"Bhmt;Bhmt2"	135800000	46016000	20436000	67417333.3333333	46016000	-4.49765642341793	0.000102084681651601
1460.7511	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	212230000	128660000	56284000	132391333.333333	128660000	-4.88624140709019	2.23514457013194e-05
1525.7347	"P16627"	"Heat shock 70 kDa protein 1-like"	"Hspa1l"	36260000	15533000	5683700	19158900	15533000	-2.38860079754221	0.0330837882618481
752.3891	"P09041"	"Phosphoglycerate kinase 2"	"Pgk2"	37706000	20581000	6019500	21435500	20581000	-2.71403672181368	0.0221452886778074
1950.8968	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	80643000	33519000	18128000	44096666.6666667	33519000	-4.97114698127928	1.39567675706937e-05
810.28226	"P15265"	"Sperm mitochondrial-associated cysteine-rich protein"	"Smcp"	9894800	32010000	9081500	16995433.3333333	9894800	-2.9264527668506	0.00660113467340555
3965.6971	"P15105"	"Glutamine synthetase"	"Glul"	70093000	15966000	5391200	30483400	15966000	-2.44369586722688	0.0310718154854457
2869.5549	"P17156"	"Heat shock-related 70 kDa protein 2"	"Hspa2"	53123000	14692000	1635800	23150266.6666667	14692000	-2.46861144786864	0.0363850705083447
2361.0622	"Q8K310"	"Matrin-3"	"Matr3"	56081000	7124300	4276900	22494066.6666667	7124300	-2.53244479441671	0.0233374285065708
1810.9479	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	189450000	102750000	41466000	111222000	102750000	-5.41865511935165	5.88903574310531e-06
