"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.AROM_Rep1"	"Intensity.AROM_Rep2"	"Intensity.AROM_Rep3"	"Mean_arom"	"Median_arom"	"logFC"	"Pvalue_limma"
1601.8889	"Q3TW96"	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1"	"Uap1l1"	15325000	8058700	14696000	12693233.3333333	14696000	3.35574347920437	0.00184028595698729
876.47052	"Q61941"	"NAD(P) transhydrogenase, mitochondrial"	"Nnt"	12279000	8367100	12124000	10923366.6666667	12124000	2.08210958413061	0.0464299303890116
972.49886	"Q9CRB9"	"MICOS complex subunit Mic19"	"Chchd3"	11090000	2610900	12710000	8803633.33333333	11090000	1.71094507177011	0.120732902066793
858.45593	"P23492"	"Purine nucleoside phosphorylase"	"Pnp"	0	8677900	12242000	6973300	8677900	2.14308119198475	0.0725054805537846
1788.8101	"Q8VDJ3"	"Vigilin"	"Hdlbp"	5081700	2929000	6369400	4793366.66666667	5081700	1.78102914684404	0.0892704241919466
1315.6368	"P21107"	"Tropomyosin alpha-3 chain"	"Tpm3"	40056000	29406000	46112000	38524666.6666667	40056000	2.47428234599075	0.0251820698319391
1117.5801	"O35855"	"Branched-chain-amino-acid aminotransferase, mitochondrial"	"Bcat2"	28288000	23860000	31445000	27864333.3333333	28288000	2.47709759805298	0.0275535535281345
2381.1784	"P27546"	"Microtubule-associated protein 4"	"Map4"	18602000	15630000	16811000	17014333.3333333	16811000	2.12414952233479	0.0656856759836651
1756.8454	"Q8K2B3"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"Sdha"	38869000	18868000	16205000	24647333.3333333	18868000	1.85989043732471	0.0878924921704705
1391.7521	"Q9Z0H4"	"CUGBP Elav-like family member 2"	"Celf2"	0	1249400	3395600	1548333.33333333	1249400	1.85159502130045	0.0777915220532643
3586.6802	"P14901"	"Heme oxygenase 1"	"Hmox1"	0	6698000	13182000	6626666.66666667	6698000	2.00081967089628	0.0719069912121203
1391.7184	"Q9CYH2"	"Redox-regulatory protein FAM213A"	"Fam213a"	82293000	45909000	44571000	57591000	45909000	2.7820561557509	0.0130644972462151
1625.8988	"Q3TW96"	"UDP-N-acetylhexosamine pyrophosphorylase-like protein 1"	"Uap1l1"	39763000	11805000	18780000	23449333.3333333	18780000	2.82405984411723	0.00934661840301432
1669.8788	"Q9D0M3"	"Cytochrome c1, heme protein, mitochondrial"	"Cyc1"	3895300	3105600	4817700	3939533.33333333	3895300	1.79832825857841	0.0857421177481559
1003.5702	"O89020"	"Afamin"	"Afm"	5932700	11625000	9706500	9088066.66666667	9706500	2.80185481213939	0.00836202375918044
1611.8542	"O89020"	"Afamin"	"Afm"	6446100	9808400	14933000	10395833.3333333	9808400	3.49807061288833	0.0015518530491511
927.55016	"Q8BJY1"	"26S proteasome non-ATPase regulatory subunit 5"	"Psmd5"	2447900	0	2586900	1678266.66666667	2447900	2.03740083523824	0.0537334972118625
1997.9993	"Q921G7"	"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"	"Etfdh"	2598300	5381400	10810000	6263233.33333333	5381400	2.41142236620641	0.0250456519422306
1236.6615	"Q9D7B6"	"Isobutyryl-CoA dehydrogenase, mitochondrial"	"Acad8"	0	1526200	7274700	2933633.33333333	1526200	1.9912123374773	0.0634852639735868
1233.5626	"O88384"	"Vesicle transport through interaction with t-SNAREs homolog 1B"	"Vti1b"	7897000	5668500	8347800	7304433.33333333	7897000	1.84715538288283	0.0760011456006891
2156.0121	"Q9QZQ8"	"Core histone macro-H2A.1"	"H2afy"	15183000	7696700	13051000	11976900	13051000	1.83299760424729	0.0876150889096825
977.42364	"Q9CQ60"	"6-phosphogluconolactonase"	"Pgls"	10284000	1846700	9279200	7136633.33333333	9279200	1.82510502392658	0.0986471193659544
819.39741	"Q64727"	"Vinculin"	"Vcl"	8628100	9270100	20415000	12771066.6666667	9270100	1.830029075132	0.0829390253554277
1550.7325	"P97429"	"Annexin A4"	"Anxa4"	49508000	23393000	31931000	34944000	31931000	3.19917961289729	0.00378207564748113
1593.7999	"Q9CRB6"	"Tubulin polymerization-promoting protein family member 3"	"Tppp3"	8764100	7228500	11587000	9193200	8764100	3.01315752670813	0.00533700144687233
3455.7209	"P26039"	"Talin-1"	"Tln1"	0	7347200	5543500	4296900	5543500	2.28633995845378	0.0318593501974798
1903.9098	"Q99LC5"	"Electron transfer flavoprotein subunit alpha, mitochondrial"	"Etfa"	30168000	26457000	54785000	37136666.6666667	30168000	1.86592846284646	0.077335509276736
1403.7197	"P01027"	"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"	"C3"	40188000	86469000	63097000	63251333.3333333	63097000	3.25956122214221	0.00283156711961247
